state,action,pr,v,s_l,s_c,s_w,s_p,a_b,a_w,a_c,e,imbalance,E,reward,s_w_idx,s_w_str,s_p_idx,s_p_str,s_idx,steady_pr
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': -41}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,572.0515927112212,0.0,-10.0,4.15,-41.0,-10,0,0,-10,False,0.02086248285322362,499.9999999999999,0,"[0.0, 8.3]",0,"[-inf, -40]",0,0.0009121207598134704
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': -37.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,505.6359656639665,0.0,-10.0,4.15,-37.5,-10,0,0,-10,False,0.02086248285322362,375.0,0,"[0.0, 8.3]",1,"[-40, -35]",1,0.0003243912780169492
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': -32.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,484.70166338744605,0.0,-10.0,4.15,-32.5,-10,0,0,-10,False,0.02086248285322362,325.0,0,"[0.0, 8.3]",2,"[-35, -30]",2,0.0003919637656094204
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': -27.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,470.24191867930097,0.0,-10.0,4.15,-27.5,-10,0,0,-10,False,0.02086248285322362,275.0,0,"[0.0, 8.3]",3,"[-30, -25]",3,0.0004503418648253685
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': -22.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,462.94037019845325,0.0,-10.0,4.15,-22.5,-10,0,0,-10,False,0.02086248285322362,224.99999999999994,0,"[0.0, 8.3]",4,"[-25, -20]",4,0.0004908713211107067
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': -17.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.1712076515001,0.0,-10.0,4.15,-17.5,-10,0,0,-10,False,0.02086248285322362,175.0,0,"[0.0, 8.3]",5,"[-20, -15]",5,0.0005067216474114514
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': -12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,477.1129681179608,0.0,-10.0,4.15,-12.5,-10,0,10,-10,False,0.02086248285322362,124.99999999999997,0,"[0.0, 8.3]",6,"[-15, -10]",6,0.0004947265577237779
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': -7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,534.3786589286883,0.0,-10.0,4.15,-7.5,-10,0,10,-10,False,0.02086248285322362,75.0,0,"[0.0, 8.3]",7,"[-10, -5]",7,0.0004563459175590683
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': -2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,604.3195225695192,0.0,-10.0,4.15,-2.5,-10,0,10,-10,False,0.02086248285322362,25.0,0,"[0.0, 8.3]",8,"[-5, 0]",8,0.00039735951555582656
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': 2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,691.6206413487234,0.0,-10.0,4.15,2.5,-10,0,20,-10,False,0.02086248285322362,-25.0,0,"[0.0, 8.3]",9,"[0, 5]",9,0.0003263816840439023
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': 7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,842.8343203583593,0.0,-10.0,4.15,7.5,-10,0,20,-10,False,0.02086248285322362,-75.0,0,"[0.0, 8.3]",10,"[5, 10]",10,0.0002527328331982396
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': 12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,992.1557466797476,0.0,-10.0,4.15,12.5,-10,0,20,-10,False,0.02086248285322362,-124.99999999999997,0,"[0.0, 8.3]",11,"[10, 15]",11,0.0001844038003252875
"{'s_l': 0, 's_c': -10, 's_w': 4.15, 's_p': 16}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,570.4121521966047,0.0,-10.0,4.15,16.0,-10,0,20,-10,False,0.02086248285322362,-1375.0,0,"[0.0, 8.3]",12,"[15, inf]",12,0.0003169954397901223
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': -41}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,572.0745080032467,0.0,-10.0,8.95,-41.0,-10,0,0,-10,False,2.889504458161864,499.9999999999999,1,"[8.3, 9.6]",0,"[-inf, -40]",13,5.717929119902714e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': -37.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,505.7002943933305,0.0,-10.0,8.95,-37.5,-10,0,0,-10,False,2.889504458161864,375.0,1,"[8.3, 9.6]",1,"[-40, -35]",14,2.037629168561729e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': -32.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,484.78928225447163,0.0,-10.0,8.95,-32.5,-10,0,0,-10,False,2.889504458161864,325.0,1,"[8.3, 9.6]",2,"[-35, -30]",15,2.463113001342875e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': -27.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,470.35810516754367,0.0,-10.0,8.95,-27.5,-10,0,0,-10,False,2.889504458161864,275.0,1,"[8.3, 9.6]",3,"[-30, -25]",16,2.8310077920721157e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': -22.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.09011047430954,0.0,-10.0,8.95,-22.5,-10,0,0,-10,False,2.889504458161864,224.99999999999994,1,"[8.3, 9.6]",4,"[-25, -20]",17,3.086797268492666e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': -17.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.35863732544897,0.0,-10.0,8.95,-17.5,-10,0,0,-10,False,2.889504458161864,175.0,1,"[8.3, 9.6]",5,"[-20, -15]",18,3.1873948269305016e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': -12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,478.73536973575324,0.0,-10.0,8.95,-12.5,-10,0,10,-10,False,2.889504458161864,124.99999999999997,1,"[8.3, 9.6]",6,"[-15, -10]",19,3.112749456904927e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': -7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,536.4615978133215,0.0,-10.0,8.95,-7.5,-10,0,10,-10,False,2.889504458161864,75.0,1,"[8.3, 9.6]",7,"[-10, -5]",20,2.8719316434281136e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': -2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,606.8191085574972,0.0,-10.0,8.95,-2.5,-10,0,10,-10,False,2.889504458161864,25.0,1,"[8.3, 9.6]",8,"[-5, 0]",21,2.5012350375072933e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': 2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,698.9514008686988,0.0,-10.0,8.95,2.5,-10,0,20,-10,False,2.889504458161864,-25.0,1,"[8.3, 9.6]",9,"[0, 5]",22,2.0548438974015182e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': 7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,850.1984421347742,0.0,-10.0,8.95,7.5,-10,0,20,-10,False,2.889504458161864,-75.0,1,"[8.3, 9.6]",10,"[5, 10]",23,1.5914358511535546e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': 12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,999.5480199372696,0.0,-10.0,8.95,12.5,-10,0,20,-10,False,2.889504458161864,-124.99999999999997,1,"[8.3, 9.6]",11,"[10, 15]",24,1.161354669403886e-05
"{'s_l': 0, 's_c': -10, 's_w': 8.95, 's_p': 16}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,577.8755038980257,0.0,-10.0,8.95,16.0,-10,0,20,-10,False,2.889504458161864,-1375.0,1,"[8.3, 9.6]",12,"[15, inf]",25,1.9969899414620646e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': -41}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,572.0763318585408,0.0,-10.0,10.1,-41.0,-10,0,0,-10,False,4.909615912208504,499.9999999999999,2,"[9.6, 10.6]",0,"[-inf, -40]",26,3.9074044164725275e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': -37.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,505.705336486551,0.0,-10.0,10.1,-37.5,-10,0,0,-10,False,4.909615912208504,375.0,2,"[9.6, 10.6]",1,"[-40, -35]",27,1.3925359508947051e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': -32.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,484.79612139489495,0.0,-10.0,10.1,-32.5,-10,0,0,-10,False,4.909615912208504,325.0,2,"[9.6, 10.6]",2,"[-35, -30]",28,1.6833415385146486e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': -27.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,470.36714417948025,0.0,-10.0,10.1,-27.5,-10,0,0,-10,False,4.909615912208504,275.0,2,"[9.6, 10.6]",3,"[-30, -25]",29,1.9347942956471186e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': -22.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.1017294188984,0.0,-10.0,10.1,-22.5,-10,0,0,-10,False,4.909615912208504,224.99999999999994,2,"[9.6, 10.6]",4,"[-25, -20]",30,2.1096333954281264e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': -17.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.37315098783114,0.0,-10.0,10.1,-17.5,-10,0,0,-10,False,4.909615912208504,175.0,2,"[9.6, 10.6]",5,"[-20, -15]",31,2.1784085098803533e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': -12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,478.811268814286,0.0,-10.0,10.1,-12.5,-10,0,10,-10,False,4.909615912208504,124.99999999999997,2,"[9.6, 10.6]",6,"[-15, -10]",32,2.1274125435717684e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': -7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,536.5581902880491,0.0,-10.0,10.1,-7.5,-10,0,10,-10,False,4.909615912208504,75.0,2,"[9.6, 10.6]",7,"[-10, -5]",33,1.9628418815083382e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': -2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,606.9345256381432,0.0,-10.0,10.1,-2.5,-10,0,10,-10,False,4.909615912208504,25.0,2,"[9.6, 10.6]",8,"[-5, 0]",34,1.709499678863539e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': 2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,699.2700412779853,0.0,-10.0,10.1,2.5,-10,0,20,-10,False,4.909615912208504,-25.0,2,"[9.6, 10.6]",9,"[0, 5]",35,1.4044178405678454e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': 7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,850.5196421146209,0.0,-10.0,10.1,7.5,-10,0,20,-10,False,4.909615912208504,-75.0,2,"[9.6, 10.6]",10,"[5, 10]",36,1.0877005325830281e-05
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': 12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,999.8713807665338,0.0,-10.0,10.1,12.5,-10,0,20,-10,False,4.909615912208504,-124.99999999999997,2,"[9.6, 10.6]",11,"[10, 15]",37,7.937569206384528e-06
"{'s_l': 0, 's_c': -10, 's_w': 10.1, 's_p': 16}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,578.2043365690579,0.0,-10.0,10.1,16.0,-10,0,20,-10,False,4.909615912208504,-1375.0,2,"[9.6, 10.6]",12,"[15, inf]",38,1.364907344487744e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': -41}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,572.077610062484,0.0,-10.0,11.0,-41.0,-10,0,0,-10,False,7.023319615912207,499.9999999999999,3,"[10.6, 11.4]",0,"[-inf, -40]",39,2.8698611368131666e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': -37.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,505.7088646924672,0.0,-10.0,11.0,-37.5,-10,0,0,-10,False,7.023319615912207,375.0,3,"[10.6, 11.4]",1,"[-40, -35]",40,1.0228181635736289e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': -32.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,484.8009050758826,0.0,-10.0,11.0,-32.5,-10,0,0,-10,False,7.023319615912207,325.0,3,"[10.6, 11.4]",2,"[-35, -30]",41,1.2364266030036445e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': -27.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,470.37346444708936,0.0,-10.0,11.0,-27.5,-10,0,0,-10,False,7.023319615912207,275.0,3,"[10.6, 11.4]",3,"[-30, -25]",42,1.4211322236734593e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': -22.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.10985146111216,0.0,-10.0,11.0,-22.5,-10,0,0,-10,False,7.023319615912207,224.99999999999994,3,"[10.6, 11.4]",4,"[-25, -20]",43,1.5495651866038924e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': -17.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.38329441399304,0.0,-10.0,11.0,-17.5,-10,0,0,-10,False,7.023319615912207,175.0,3,"[10.6, 11.4]",5,"[-20, -15]",44,1.6000921733218145e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': -12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,478.86065502953363,0.0,-10.0,11.0,-12.5,-10,0,10,-10,False,7.023319615912207,124.99999999999997,3,"[10.6, 11.4]",6,"[-15, -10]",45,1.562643492428141e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': -7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,536.6209376998286,0.0,-10.0,11.0,-7.5,-10,0,10,-10,False,7.023319615912207,75.0,3,"[10.6, 11.4]",7,"[-10, -5]",46,1.4417692723591238e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': -2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,607.0094407231144,0.0,-10.0,11.0,-2.5,-10,0,10,-10,False,7.023319615912207,25.0,3,"[10.6, 11.4]",8,"[-5, 0]",47,1.2556873106422576e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': 2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,699.4744150825843,0.0,-10.0,11.0,2.5,-10,0,20,-10,False,7.023319615912207,-25.0,3,"[10.6, 11.4]",9,"[0, 5]",48,1.031598389650891e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': 7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,850.72580306746,0.0,-10.0,11.0,7.5,-10,0,20,-10,False,7.023319615912207,-75.0,3,"[10.6, 11.4]",10,"[5, 10]",49,7.989605230733546e-06
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': 12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,1000.0790505477389,0.0,-10.0,11.0,12.5,-10,0,20,-10,False,7.023319615912207,-124.99999999999997,3,"[10.6, 11.4]",11,"[10, 15]",50,5.830489439728133e-06
"{'s_l': 0, 's_c': -10, 's_w': 11.0, 's_p': 16}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,578.4158282573135,0.0,-10.0,11.0,16.0,-10,0,20,-10,False,7.023319615912207,-1375.0,3,"[10.6, 11.4]",12,"[15, inf]",51,1.002590335110006e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': -41}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,572.0785306952862,0.0,-10.0,11.7,-41.0,-10,0,0,-10,False,9.03296296296296,499.9999999999999,4,"[11.4, 12.0]",0,"[-inf, -40]",52,2.021350630771584e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': -37.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,505.71140312114204,0.0,-10.0,11.7,-37.5,-10,0,0,-10,False,9.03296296296296,375.0,4,"[11.4, 12.0]",1,"[-40, -35]",53,7.20430109636929e-06
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': -32.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,484.80434574604254,0.0,-10.0,11.7,-32.5,-10,0,0,-10,False,9.03296296296296,325.0,4,"[11.4, 12.0]",2,"[-35, -30]",54,8.708922289435084e-06
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': -27.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,470.3780092165228,0.0,-10.0,11.7,-27.5,-10,0,0,-10,False,9.03296296296296,275.0,4,"[11.4, 12.0]",3,"[-30, -25]",55,1.0009972633980013e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': -22.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.1156907336723,0.0,-10.0,11.7,-22.5,-10,0,0,-10,False,9.03296296296296,224.99999999999994,4,"[11.4, 12.0]",4,"[-25, -20]",56,1.091466250149237e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': -17.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.39058585165094,0.0,-10.0,11.7,-17.5,-10,0,0,-10,False,9.03296296296296,175.0,4,"[11.4, 12.0]",5,"[-20, -15]",57,1.1270606559108525e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': -12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,478.89426964376275,0.0,-10.0,11.7,-12.5,-10,0,10,-10,False,9.03296296296296,124.99999999999997,4,"[11.4, 12.0]",6,"[-15, -10]",58,1.1006869793160334e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': -7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,536.6635892072065,0.0,-10.0,11.7,-7.5,-10,0,10,-10,False,9.03296296296296,75.0,4,"[11.4, 12.0]",7,"[-10, -5]",59,1.0155496282009054e-05
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': -2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,607.0603291926176,0.0,-10.0,11.7,-2.5,-10,0,10,-10,False,9.03296296296296,25.0,4,"[11.4, 12.0]",8,"[-5, 0]",60,8.844803942077996e-06
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': 2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,699.6118829140487,0.0,-10.0,11.7,2.5,-10,0,20,-10,False,9.03296296296296,-25.0,4,"[11.4, 12.0]",9,"[0, 5]",61,7.26638746319993e-06
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': 7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,850.8645546847557,0.0,-10.0,11.7,7.5,-10,0,20,-10,False,9.03296296296296,-75.0,4,"[11.4, 12.0]",10,"[5, 10]",62,5.627743515135134e-06
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': 12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,1000.2188860607648,0.0,-10.0,11.7,12.5,-10,0,20,-10,False,9.03296296296296,-124.99999999999997,4,"[11.4, 12.0]",11,"[10, 15]",63,4.106907929782063e-06
"{'s_l': 0, 's_c': -10, 's_w': 11.7, 's_p': 16}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,578.5584099047369,0.0,-10.0,11.7,16.0,-10,0,20,-10,False,9.03296296296296,-1375.0,4,"[11.4, 12.0]",12,"[15, inf]",64,7.062123692550593e-06
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': -41}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,572.0842122762524,0.0,-10.0,18.5,-41.0,-10,0,0,-10,False,10.0,499.9999999999999,5,"[12, 25]",0,"[-inf, -40]",65,0.00028012090922700447
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': -37.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,505.72700155640916,0.0,-10.0,18.5,-37.5,-10,0,0,-10,False,10.0,375.0,5,"[12, 25]",1,"[-40, -35]",66,9.98481468762462e-05
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': -32.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,484.8254634117847,0.0,-10.0,18.5,-32.5,-10,0,0,-10,False,10.0,325.0,5,"[12, 25]",2,"[-35, -30]",67,0.00012070405094319124
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': -27.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,470.40587700672177,0.0,-10.0,18.5,-27.5,-10,0,0,-10,False,10.0,275.0,5,"[12, 25]",3,"[-30, -25]",68,0.00013873897105722886
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': -22.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.15146922055004,0.0,-10.0,18.5,-22.5,-10,0,0,-10,False,10.0,224.99999999999994,5,"[12, 25]",4,"[-25, -20]",69,0.0001512805481730006
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': -17.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.4352356323632,0.0,-10.0,18.5,-17.5,-10,0,0,-10,False,10.0,175.0,5,"[12, 25]",5,"[-20, -15]",70,0.00015621634221149662
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': -12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,479.05414101747044,0.0,-10.0,18.5,-12.5,-10,0,10,-10,False,10.0,124.99999999999997,5,"[12, 25]",6,"[-15, -10]",71,0.00015256282344494973
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': -7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,536.8649631835183,0.0,-10.0,18.5,-7.5,-10,0,10,-10,False,10.0,75.0,5,"[12, 25]",7,"[-10, -5]",72,0.00014076385938056635
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': -2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,607.2997214994684,0.0,-10.0,18.5,-2.5,-10,0,10,-10,False,10.0,25.0,5,"[12, 25]",8,"[-5, 0]",73,0.000122597846002809
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': 2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,700.22349333175,0.0,-10.0,18.5,2.5,-10,0,20,-10,False,10.0,-25.0,5,"[12, 25]",9,"[0, 5]",74,0.00010072037858518107
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': 7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,851.4840052446776,0.0,-10.0,18.5,7.5,-10,0,20,-10,False,10.0,-75.0,5,"[12, 25]",10,"[5, 10]",75,7.800759129034053e-05
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': 12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,1000.8449569719933,0.0,-10.0,18.5,12.5,-10,0,20,-10,False,10.0,-124.99999999999997,5,"[12, 25]",11,"[10, 15]",76,5.692734938934659e-05
"{'s_l': 0, 's_c': -10, 's_w': 18.5, 's_p': 16}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,579.2012683980438,0.0,-10.0,18.5,16.0,-10,0,20,-10,False,10.0,-1375.0,5,"[12, 25]",12,"[15, inf]",77,9.78921344072822e-05
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': -41}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,572.1064604412504,0.0,-10.0,26.0,-41.0,-10,0,0,-10,False,0.0,499.9999999999999,6,"[25, inf]",0,"[-inf, -40]",78,0.000686628240256329
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': -37.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,505.78680442341374,0.0,-10.0,26.0,-37.5,-10,0,0,-10,False,0.0,375.0,6,"[25, inf]",1,"[-40, -35]",79,0.00024448367147030697
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': -32.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,484.9059494406333,0.0,-10.0,26.0,-32.5,-10,0,0,-10,False,0.0,325.0,6,"[25, inf]",2,"[-35, -30]",80,0.0002954839880168681
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': -27.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,470.5115837251816,0.0,-10.0,26.0,-27.5,-10,0,0,-10,False,0.0,275.0,6,"[25, inf]",3,"[-30, -25]",81,0.0003395663923667519
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': -22.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.2866657289477,0.0,-10.0,26.0,-22.5,-10,0,0,-10,False,0.0,224.99999999999994,6,"[25, inf]",4,"[-25, -20]",82,0.0003701974641030245
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': -17.5}","{'a_b': -10, 'a_w': 0, 'a_c': 0}",1,463.60344767500726,0.0,-10.0,26.0,-17.5,-10,0,0,-10,False,0.0,175.0,6,"[25, inf]",5,"[-20, -15]",83,0.0003822164552900943
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': -12.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,478.75193087067123,0.0,-10.0,26.0,-12.5,-10,0,10,-10,False,0.0,124.99999999999997,6,"[25, inf]",6,"[-15, -10]",84,0.0003732255757554382
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': -7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,536.4468933615211,0.0,-10.0,26.0,-7.5,-10,0,10,-10,False,0.0,75.0,6,"[25, inf]",7,"[-10, -5]",85,0.00034431805698592626
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': -2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 10}",1,606.7804906690662,0.0,-10.0,26.0,-2.5,-10,0,10,-10,False,0.0,25.0,6,"[25, inf]",8,"[-5, 0]",86,0.0002998491369339814
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': 2.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,697.9985803952868,0.0,-10.0,26.0,2.5,-10,0,20,-10,False,0.0,-25.0,6,"[25, inf]",9,"[0, 5]",87,0.00024631641267369253
"{'s_l': 0, 's_c': -10, 's_w': 26, 's_p': 7.5}","{'a_b': -10, 'a_w': 0, 'a_c': 20}",1,849.288221854325,0.0,-10.0,26.0,7.5,-10,0,20,-10,False,0.0,-75.0,6,"[25, inf]",10,"[5, 10]",88,0.00019075373985105016
